,page_content,metadata
48,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: text
Content:
updated via the backpropagation algorithm. Fig. 1(c) shows that, despite a small learning rate, the scaling factor of weight and activation fluctuates around the initial value. Such an instability is more severe in early layers, where gradient fluctuations accumulate due to the chain rule. The results in Table I show a noticeable drop in the model's mAP compared to the baseline, emphasizing the issue.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
49,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: text
Content:
The results in Table I show a noticeable drop in the model's mAP compared to the baseline, emphasizing the issue.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
50,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: table
Content:
Bảng thể hiện các phương pháp cải tiến cho mô hình YOLOv8-n, bao gồm ""Origin Model"" với 37.3%, ""Baseline"" sử dụng LSQ đạt 32.1%, và phương pháp ""Freeze"" weight cho kết quả 31.7%.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'table', 'full_context': '| Method       |               | YOLOv8-n |\n|--------------|---------------|----------|\n| Origin Model | 32bit         | 37.3     |\n| Baseline     | LSQ           | 32.1     |\n| Freeze       | Freeze weight | 31.7     |  \n'}"
51,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > IV. METHODOLOGY
Type: text
Content:
This section presents proposed methods to reduce oscillations and improve QAT stability. The first two methods are applied during training, and the third one is a post-processing step for fine-tuning performance.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'IV. METHODOLOGY', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
52,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
We propose a function to solve the discontinuous behavior as discussed in Sec.III-A, called PulseSmooth, as depicted in Fig. 2. PulseSmooth allows for smoother gradient transitions. We mathematically model the proposed method as follows. Let  $X \in \mathbb{R}^*$  denote the latent weight or activation tensor, and  $s \in \mathbb{R}$  be the scaling factor","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
53,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
Let  $X \in \mathbb{R}^*$  denote the latent weight or activation tensor, and  $s \in \mathbb{R}$  be the scaling factor. We define that  $m = \left( \left\lceil \frac{X}{s} \right\rceil - \frac{X}{s} \right)$  
and  $m \in (-0.5, 0.5)$ , and let  $\delta$  be the continuous control parameter","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
54,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
and  $m \in (-0.5, 0.5)$ , and let  $\delta$  be the continuous control parameter. *PulseSmooth* function, denoted as  $F_{ps}$ , is formulated as follows:  
$$F_{ps}(m) = \begin{cases} -\frac{0.5 - \delta}{\delta}(m + 0.5) & \text{if } m \in (-0.5, -0.5 + \delta] \\ m & \text{if } m \in [-0.5 + \delta, 0","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
55,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
$$F_{ps}(m) = \begin{cases} -\frac{0.5 - \delta}{\delta}(m + 0.5) & \text{if } m \in (-0.5, -0.5 + \delta] \\ m & \text{if } m \in [-0.5 + \delta, 0.5 - \delta] \\ -\frac{0.5 - \delta}{\delta}(m - 0.5) & \text{if } m \in [0.5 - \delta, 0.5) \end{cases}$$  
Our idea is that m has a smoother transition using  $\delta$ . When m approaches  $0.5-\delta$  or  $-0","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
56,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
Our idea is that m has a smoother transition using  $\delta$ . When m approaches  $0.5-\delta$  or  $-0.5+\delta$ , it has a gradual change in amplitude, while the sign remains unchanged. Therefore, the PulseSmooth function reduces the abrupt changes in the gradient of the scaling factor s","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
57,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
Therefore, the PulseSmooth function reduces the abrupt changes in the gradient of the scaling factor s, while still preserving the directional characteristics of the original pulse function. The gradient for the loss function is given by:  
$$\frac{\partial L}{\partial s} = \sum_{i}^{N_x} \frac{\partial L}{\partial \hat{x}_i} F_{ps} \left( \frac{\partial \hat{x}_i}{\partial s} \right).$$  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
58,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
$$\frac{\partial L}{\partial s} = \sum_{i}^{N_x} \frac{\partial L}{\partial \hat{x}_i} F_{ps} \left( \frac{\partial \hat{x}_i}{\partial s} \right).$$  
We note that, when the gradient force is weak, the latent weight stays unchanged at a quantization level","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
59,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
We note that, when the gradient force is weak, the latent weight stays unchanged at a quantization level. So, we propose a method of scaling the gradients of the latent weight according to the distance-aware factor for more stable convergence. The proposed scaling function is given as:  
Fscale(w) =
$$e^{-k \cdot \Delta}$$  
$$\Delta = \left| \left\lceil \frac{w}{s} \right| - \frac{w}{s} \right| \in [0, 0.5)$$
(9)  ","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
60,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
$$\Delta = \left| \left\lceil \frac{w}{s} \right| - \frac{w}{s} \right| \in [0, 0.5)$$
(9)  
where k controls the scaling function. The gradient of the latent weight after scaling is as follows:  
$$\frac{\partial L}{\partial w} = \begin{cases} \frac{\partial L}{\partial \hat{w}} \cdot \text{Fscale}(\mathbf{w}) \text{ if } \frac{w}{s} \in [\alpha","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
61,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
$$\frac{\partial L}{\partial w} = \begin{cases} \frac{\partial L}{\partial \hat{w}} \cdot \text{Fscale}(\mathbf{w}) \text{ if } \frac{w}{s} \in [\alpha, \beta] \\ 0 \end{cases}$$
(10)  
Equations (9) and (10) show that when a latent weight is far from the quantization threshold, Fscale has a large value to push the update process","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
62,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
Equations (9) and (10) show that when a latent weight is far from the quantization threshold, Fscale has a large value to push the update process. Meanwhile, for the latent weights near the quantization threshold, a smaller value of Fscale does not affect their update process; it is non-trivial to switch to a new state to change the overall loss. As a result, this leads to a more balanced and stable learning.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
63,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
As a result, this leads to a more balanced and stable learning.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
64,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Gradient Scaling Distance-aware
Type: text
Content:
  
Fig. 3: The training flow of the proposed method.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Gradient Scaling Distance-aware', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
65,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. EMA Aware distance for Updating weight
Type: text
Content:
To further mitigate the oscillations of weights and scaling factors during the QAT process, we propose a distance-aware Exponential Moving Average (EMA) method. As the training process approaches convergence, weights with quantized values far from the latent weight highly oscillate between two adjacent quantization levels. Therefore, those weights can have a larger EMA smoothing factor to stabilize the update process","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. EMA Aware distance for Updating weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
66,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. EMA Aware distance for Updating weight
Type: text
Content:
Therefore, those weights can have a larger EMA smoothing factor to stabilize the update process. In contrast, weights far from the quantization threshold have a lower chance of changing quantization levels. So, a smaller smoothing factor can use the latest updates from target loss, which benefits overall performance. The update formula for the latent weight W of  $l^{th}$  layer at  $t^{th}$  iteration is as follows:  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. EMA Aware distance for Updating weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
67,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. EMA Aware distance for Updating weight
Type: text
Content:
The update formula for the latent weight W of  $l^{th}$  layer at  $t^{th}$  iteration is as follows:  
$$W_t^l = \alpha W_{t-1}^l + (1 - \alpha) W_t^l$$  ","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. EMA Aware distance for Updating weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
68,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. EMA Aware distance for Updating weight
Type: text
Content:
$$W_t^l = \alpha W_{t-1}^l + (1 - \alpha) W_t^l$$  
$$\alpha = \begin{cases} k \cdot |W_t^l - \hat{W}_t^l| & \text{if } t > \tau \\ 0 & \text{else} \end{cases}$$
(11)  
The the scaling factor of activation  $s_a$  and weight  $s_W$  in the  $l^{th}$  layer is updated during training is as follows:  
$$\begin{split} s_{W(t)}^{l} &= (1 - \mu) s_{W(t-1)}^{l} + \mu s_{W(t)}^{l} \\ s_{a(t)}^{l} &= (1 - \mu) s_{a(t-1)}^{l} + \mu s_{a(t)}^{l} \\ \mu &= (1 -","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. EMA Aware distance for Updating weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
69,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. EMA Aware distance for Updating weight
Type: text
Content:
$$\begin{split} s_{W(t)}^{l} &= (1 - \mu) s_{W(t-1)}^{l} + \mu s_{W(t)}^{l} \\ s_{a(t)}^{l} &= (1 - \mu) s_{a(t-1)}^{l} + \mu s_{a(t)}^{l} \\ \mu &= (1 - \frac{t - \tau}{epoch - \tau}) \mu_{init} \end{split} \tag{12}$$  
Where  $\tau$  and k are hyperparameters representing the iteration milestone at which the EMA update process is activated and the corresponding scale fa","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. EMA Aware distance for Updating weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
70,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. EMA Aware distance for Updating weight
Type: text
Content:
Where  $\tau$  and k are hyperparameters representing the iteration milestone at which the EMA update process is activated and the corresponding scale factor, respectively.  $\mu_{init}$  is initial smoothing coefficient used for updating of the scaling factor.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. EMA Aware distance for Updating weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
71,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > C. Adaptive Finetuning Weight
Type: text
Content:
In this section, we propose a post-processing for the quantized model to fine-tune weights that exhibit strong oscillations after training, aiming to help the model reach a better performance. To identify which weights should be adjusted during this stage","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'C. Adaptive Finetuning Weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
72,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > C. Adaptive Finetuning Weight
Type: text
Content:
To identify which weights should be adjusted during this stage, we track their state and sign transitions throughout training using the frequency tracking metric [8]. Weights that switch between adjacent quantization levels are frozen during  
training and later fine-tuned in a post-processing step. We formulate the following optimization problem as follows:  ","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'C. Adaptive Finetuning Weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
73,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > C. Adaptive Finetuning Weight
Type: text
Content:
training and later fine-tuned in a post-processing step. We formulate the following optimization problem as follows:  
$$\theta = \underset{\theta}{\operatorname{argmin}} \ L(F(W, \theta)) + \lambda R(\theta) \tag{13}$$  
where  $F(W, \theta)$  is the quantization function applied to the weights selected for finetuning, parameterized by the learnable variable  $\theta$ ","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'C. Adaptive Finetuning Weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
74,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > C. Adaptive Finetuning Weight
Type: text
Content:
where  $F(W, \theta)$  is the quantization function applied to the weights selected for finetuning, parameterized by the learnable variable  $\theta$ , and is defined as follows:  
$$F(W,\theta) = s.clip\left(\left\lceil \frac{W}{s} \right\rfloor + g(\theta), \alpha, \beta\right)$$
$$g(\theta) = clip(\gamma \cdot \tanh(\theta), -1, 1)$$
(14)  
where  $\gamma$  is a scaling hyperparameter, and  $\lambda$  is a loss-balancing parameter","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'C. Adaptive Finetuning Weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
75,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > C. Adaptive Finetuning Weight
Type: text
Content:
where  $\gamma$  is a scaling hyperparameter, and  $\lambda$  is a loss-balancing parameter.  $R(\theta)$  is a regularization term that constrains the quantity  $g(\theta)$  to take values only in -1,0,1, formulated as follows:  
$$R(\theta) = g(\theta)^{2} \cdot ((1 - g(\theta)^{2})^{2}$$
(15)  
Unlike Adaround [12], which applies floor operations uniformly to all W/s terms and may disrupt the model state","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'C. Adaptive Finetuning Weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
76,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > C. Adaptive Finetuning Weight
Type: text
Content:
Unlike Adaround [12], which applies floor operations uniformly to all W/s terms and may disrupt the model state, our method preserves quantized weights and refines them using a learnable offset  $g(\theta)$ , defined as a clipped tanh function bounded in [-1,1] (Eq. 14). As shown in Table II and Table V, our method outperforms both weight-freezing and Adaround.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'C. Adaptive Finetuning Weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
77,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > C. Adaptive Finetuning Weight
Type: text
Content:
As shown in Table II and Table V, our method outperforms both weight-freezing and Adaround.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'C. Adaptive Finetuning Weight', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
78,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > V. EXPERIMENT
Type: text
Content:
To evaluate the effectiveness of the proposed methods, we conduct experiments focusing on lightweight models, such as YOLO, MobileNet, EfficientNet, and ResNet18, which are commonly deployed on resource-constrained hardware. To highlight the capability of our methods under low-bit quantization, we apply 3-bit and 4-bit quantization to both weights and activations.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'V. EXPERIMENT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
79,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > V. EXPERIMENT
Type: text
Content:
To highlight the capability of our methods under low-bit quantization, we apply 3-bit and 4-bit quantization to both weights and activations.  
**Experiment setup:** Full flow of the proposed quantization method is illustrated in Fig. 3","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'V. EXPERIMENT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
80,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > V. EXPERIMENT
Type: text
Content:
**Experiment setup:** Full flow of the proposed quantization method is illustrated in Fig. 3. Following [3], we first fold Conv-BatchNorm-ReLU layers in the pretrained model. Then, we apply LSQ per-tensor quantization to both weights and activations. To improve quantization performance, we use Cross-Layer Equalization (CLE) and Bias Correction [20]","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'V. EXPERIMENT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
81,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > V. EXPERIMENT
Type: text
Content:
To improve quantization performance, we use Cross-Layer Equalization (CLE) and Bias Correction [20], and initialize activation scales with the Moving Average Min-Max method [21] on the validation set. We perform QAT for 80 epochs using ScaleGrad, 20 epochs for EAM with  $\alpha_{init}=0","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'V. EXPERIMENT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
82,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > V. EXPERIMENT
Type: text
Content:
We perform QAT for 80 epochs using ScaleGrad, 20 epochs for EAM with  $\alpha_{init}=0.1$ , and 10 epochs for AFM, employing the SGD optimizer with a learning rate of 0.001, momentum of 0.9, weight decay of 1e-5,  $\gamma$  and  $\lambda$  set to 1.1 and 0.1, respectively and a StepLR learning rate scheduler. All experiments use PyTorch 11.12 on an NVIDIA V100 GPU.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'V. EXPERIMENT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
83,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > V. EXPERIMENT
Type: text
Content:
All experiments use PyTorch 11.12 on an NVIDIA V100 GPU.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'V. EXPERIMENT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
84,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
1) Quantity result of proposed method: We conduct experiments to evaluate the proposed method on two benchmark datasets: MS COCO and ImageNet, using a diverse set of CNN architectures.  
As shown in Table III, on the image classification task","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
85,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
As shown in Table III, on the image classification task, our proposed quantization method significantly reduces the accuracy gap between quantized models and full-precision models. Under 4-bit quantization, the accuracy gap between  
TABLE II: The comparative results between the proposed method and other quantization-aware training approaches on both object detection and object classi","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
86,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
TABLE II: The comparative results between the proposed method and other quantization-aware training approaches on both object detection and object classification tasks.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
87,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
TABLE III: The experimental results of the proposed method on various lightweight classification models evaluated on the ImageNet1K dataset.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
88,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
TABLE IV: Experimental results of the proposed method on different lightweight object detection models are evaluated on the MSCOCO dataset.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
89,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
quantized and original models keeps below 1.6%, and within 4% for 3 bits. Larger models like VGG16 and SE-ResNet-50 show less than 1% drop, confirming the method's effectiveness on deeper networks.  
For object detection (Table IV), our method shows a high mAP score on lightweight detectors like YOLO and SSD","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
90,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
For object detection (Table IV), our method shows a high mAP score on lightweight detectors like YOLO and SSD. For instance, YOLOv8-s and YOLOv9-s maintain under 2.5% loss at 4 bits and around 5% at 3 bits. This presents a favorable trade-off for edge deployment, offering up to 8× memory savings with minimal accuracy loss.  
2) Comparison of results with other methods: We compare our method with existing QAT approaches LSQ, Per-Channel Quantization, Damping Loss","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
91,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
2) Comparison of results with other methods: We compare our method with existing QAT approaches LSQ, Per-Channel Quantization, Damping Loss, and RedYolo—on both object detection (using lightweight YOLO models) and classification (using MobileNet and EfficientNet variants). As shown in Table II, our method outperforms all baselines in 4 bits and 3 bits settings. Compared to LSQ, it achieves more than 2%  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
92,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Experiment result
Type: text
Content:
As shown in Table II, our method outperforms all baselines in 4 bits and 3 bits settings. Compared to LSQ, it achieves more than 2%  
TABLE V: Table of ablation impact of each proposed method on the overall results","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Experiment result', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
